Car,Toyota Corolla,100,4
Car,Honda Civic,120,4
Car,BMW 3 Series,200,4
Car,Audi A4,220,4
Car,Mercedes C-Class,250,4
Car,Ford Focus,90,4
Car,Hyundai Elantra,95,4
Car,Kia Optima,110,4
Car,Volkswagen Passat,130,4
Car,Nissan Altima,115,4
Car,Chevrolet Malibu,105,4
Car,Skoda Octavia,125,4
Car,Peugeot 508,140,4
Car,Renault Megane,100,4
Car,Mazda 6,135,4

Bike,Yamaha R15,50,2
Bike,Honda CBR,60,2
Bike,Suzuki GSX,55,2
Bike,Kawasaki Ninja,80,2
Bike,Ducati Monster,100,2
Bike,BMW G310R,90,2
Bike,KTM Duke,70,2
Bike,Harley Davidson Street 750,150,2
Bike,Bajaj Pulsar,40,2
Bike,TVS Apache,45,2
Bike,Hero Splendor,30,2
Bike,Royal Enfield Classic 350,85,2
Bike,Aprilia RS 660,120,2
Bike,Triumph Street Triple,130,2
Bike,Honda Shine,35,2
